Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,5,undirected
ABronte_Agnes,CBronte_Jane,1,undirected
ABronte_Agnes,CBronte_Villette,3,undirected
ABronte_Agnes,Sterne_Sentimental,1,undirected
ABronte_Tenant,ABronte_Agnes,5,undirected
ABronte_Tenant,CBronte_Jane,3,undirected
ABronte_Tenant,CBronte_Villette,1,undirected
ABronte_Tenant,Richardson_Pamela,2,undirected
Austen_Emma,Austen_Pride,5,undirected
Austen_Emma,Austen_Sense,4,undirected
Austen_Emma,Eliot_Middlemarch,1,undirected
Austen_Pride,Austen_Emma,5,undirected
Austen_Pride,Austen_Sense,6,undirected
Austen_Pride,mystery1,1,undirected
Austen_Sense,Austen_Emma,4,undirected
Austen_Sense,Austen_Pride,6,undirected
Austen_Sense,Fielding_Tom,1,undirected
CBronte_Jane,ABronte_Agnes,1,undirected
CBronte_Jane,ABronte_Tenant,3,undirected
CBronte_Jane,CBronte_Professor,6,undirected
CBronte_Jane,CBronte_Villette,4,undirected
CBronte_Jane,Dickens_Bleak,1,undirected
CBronte_Jane,EBronte_Wuthering,3,undirected
CBronte_Jane,EHemingway_OldMan,3,undirected
CBronte_Jane,mystery2,1,undirected
CBronte_Jane,Sterne_Sentimental,2,undirected
CBronte_Professor,CBronte_Jane,6,undirected
CBronte_Professor,CBronte_Villette,5,undirected
CBronte_Professor,EBronte_Wuthering,2,undirected
CBronte_Villette,ABronte_Agnes,3,undirected
CBronte_Villette,ABronte_Tenant,1,undirected
CBronte_Villette,CBronte_Jane,4,undirected
CBronte_Villette,CBronte_Professor,5,undirected
CBronte_Villette,EBronte_Wuthering,2,undirected
Dickens_Bleak,CBronte_Jane,1,undirected
Dickens_Bleak,Dickens_David,6,undirected
Dickens_Bleak,Dickens_Hard,4,undirected
Dickens_Bleak,mystery1,3,undirected
Dickens_Bleak,Richardson_Clarissa,2,undirected
Dickens_Bleak,Richardson_Pamela,1,undirected
Dickens_Bleak,Thackeray_Barry,1,undirected
Dickens_David,Dickens_Bleak,6,undirected
Dickens_David,Dickens_Hard,2,undirected
Dickens_David,mystery1,2,undirected
Dickens_Hard,Dickens_Bleak,4,undirected
Dickens_Hard,Dickens_David,2,undirected
Dickens_Hard,EHemingway_OldMan,1,undirected
Dickens_Hard,mystery1,6,undirected
EBronte_Wuthering,CBronte_Jane,3,undirected
EBronte_Wuthering,CBronte_Professor,2,undirected
EBronte_Wuthering,CBronte_Villette,2,undirected
EBronte_Wuthering,mystery2,2,undirected
EHemingway_OldMan,CBronte_Jane,3,undirected
EHemingway_OldMan,Dickens_Hard,1,undirected
EHemingway_OldMan,Thackeray_Pendennis,2,undirected
Eliot_Adam,Eliot_Mill,6,undirected
Eliot_Adam,Thackeray_Pendennis,2,undirected
Eliot_Adam,Thackeray_Vanity,3,undirected
Eliot_Middlemarch,Austen_Emma,1,undirected
Eliot_Middlemarch,Eliot_Mill,2,undirected
Eliot_Middlemarch,mystery1,3,undirected
Eliot_Middlemarch,Trollope_Barchester,4,undirected
Eliot_Middlemarch,Trollope_Phineas,2,undirected
Eliot_Middlemarch,Trollope_Prime,1,undirected
Eliot_Mill,Eliot_Adam,6,undirected
Eliot_Mill,Eliot_Middlemarch,2,undirected
Eliot_Mill,mystery1,2,undirected
Eliot_Mill,Thackeray_Pendennis,2,undirected
Eliot_Mill,Thackeray_Vanity,4,undirected
Eliot_Mill,Trollope_Barchester,1,undirected
Fielding_Joseph,Fielding_Tom,6,undirected
Fielding_Joseph,mystery1,1,undirected
Fielding_Joseph,Thackeray_Pendennis,2,undirected
Fielding_Tom,Austen_Sense,1,undirected
Fielding_Tom,Fielding_Joseph,6,undirected
Fielding_Tom,Richardson_Clarissa,1,undirected
Fielding_Tom,Sterne_Tristram,4,undirected
Fielding_Tom,Thackeray_Pendennis,1,undirected
mystery1,Austen_Pride,1,undirected
mystery1,Dickens_Bleak,3,undirected
mystery1,Dickens_David,2,undirected
mystery1,Dickens_Hard,6,undirected
mystery1,Eliot_Middlemarch,3,undirected
mystery1,Eliot_Mill,2,undirected
mystery1,Fielding_Joseph,1,undirected
mystery2,CBronte_Jane,1,undirected
mystery2,EBronte_Wuthering,2,undirected
mystery2,Thackeray_Vanity,3,undirected
Richardson_Clarissa,Dickens_Bleak,2,undirected
Richardson_Clarissa,Fielding_Tom,1,undirected
Richardson_Clarissa,Richardson_Pamela,6,undirected
Richardson_Pamela,ABronte_Tenant,2,undirected
Richardson_Pamela,Dickens_Bleak,1,undirected
Richardson_Pamela,Richardson_Clarissa,6,undirected
Sterne_Sentimental,ABronte_Agnes,1,undirected
Sterne_Sentimental,CBronte_Jane,2,undirected
Sterne_Sentimental,Sterne_Tristram,6,undirected
