Source,Target,Weight,Type
ABronte_Agnes,ABronte_Tenant,346,undirected
ABronte_Agnes,CBronte_Jane,91,undirected
ABronte_Agnes,CBronte_Villette,214,undirected
ABronte_Agnes,Sterne_Sentimental,1,undirected
ABronte_Tenant,ABronte_Agnes,346,undirected
ABronte_Tenant,CBronte_Jane,269,undirected
ABronte_Tenant,CBronte_Villette,109,undirected
ABronte_Tenant,EBronte_Wuthering,145,undirected
ABronte_Tenant,Richardson_Clarissa,76,undirected
ABronte_Tenant,Richardson_Pamela,182,undirected
Austen_Emma,Austen_Pride,455,undirected
Austen_Emma,Austen_Sense,364,undirected
Austen_Emma,Eliot_Middlemarch,91,undirected
Austen_Pride,Austen_Emma,455,undirected
Austen_Pride,Austen_Sense,546,undirected
Austen_Pride,Eliot_Middlemarch,64,undirected
Austen_Pride,Fielding_Tom,5,undirected
Austen_Pride,mystery1,22,undirected
Austen_Sense,Austen_Emma,364,undirected
Austen_Sense,Austen_Pride,546,undirected
Austen_Sense,Fielding_Tom,88,undirected
Austen_Sense,mystery1,2,undirected
Austen_Sense,Trollope_Barchester,1,undirected
CBronte_Jane,ABronte_Agnes,91,undirected
CBronte_Jane,ABronte_Tenant,269,undirected
CBronte_Jane,CBronte_Professor,429,undirected
CBronte_Jane,CBronte_Villette,526,undirected
CBronte_Jane,Dickens_Bleak,1,undirected
CBronte_Jane,Dickens_David,20,undirected
CBronte_Jane,EBronte_Wuthering,362,undirected
CBronte_Jane,EHemingway_OldMan,105,undirected
CBronte_Jane,mystery2,60,undirected
CBronte_Jane,Richardson_Pamela,85,undirected
CBronte_Jane,Sterne_Sentimental,148,undirected
CBronte_Jane,Thackeray_Barry,14,undirected
CBronte_Professor,CBronte_Jane,429,undirected
CBronte_Professor,CBronte_Villette,410,undirected
CBronte_Professor,EBronte_Wuthering,115,undirected
CBronte_Professor,Sterne_Sentimental,2,undirected
CBronte_Villette,ABronte_Agnes,214,undirected
CBronte_Villette,ABronte_Tenant,109,undirected
CBronte_Villette,CBronte_Jane,526,undirected
CBronte_Villette,CBronte_Professor,410,undirected
CBronte_Villette,EBronte_Wuthering,259,undirected
CBronte_Villette,EHemingway_OldMan,24,undirected
CBronte_Villette,mystery2,146,undirected
CBronte_Villette,Sterne_Sentimental,102,undirected
CBronte_Villette,Thackeray_Barry,72,undirected
CBronte_Villette,Thackeray_Vanity,1,undirected
Dickens_Bleak,CBronte_Jane,1,undirected
Dickens_Bleak,Dickens_David,546,undirected
Dickens_Bleak,Dickens_Hard,278,undirected
Dickens_Bleak,Fielding_Tom,5,undirected
Dickens_Bleak,mystery1,386,undirected
Dickens_Bleak,Richardson_Clarissa,21,undirected
Dickens_Bleak,Richardson_Pamela,6,undirected
Dickens_Bleak,Thackeray_Barry,1,undirected
Dickens_David,CBronte_Jane,20,undirected
Dickens_David,Dickens_Bleak,546,undirected
Dickens_David,Dickens_Hard,124,undirected
Dickens_David,mystery1,247,undirected
Dickens_David,Thackeray_Barry,4,undirected
Dickens_Hard,Dickens_Bleak,278,undirected
Dickens_Hard,Dickens_David,124,undirected
Dickens_Hard,EHemingway_OldMan,2,undirected
Dickens_Hard,Eliot_Mill,38,undirected
Dickens_Hard,mystery1,519,undirected
EBronte_Wuthering,ABronte_Tenant,145,undirected
EBronte_Wuthering,CBronte_Jane,362,undirected
EBronte_Wuthering,CBronte_Professor,115,undirected
EBronte_Wuthering,CBronte_Villette,259,undirected
EBronte_Wuthering,EHemingway_OldMan,129,undirected
EBronte_Wuthering,mystery2,266,undirected
EHemingway_OldMan,CBronte_Jane,105,undirected
EHemingway_OldMan,CBronte_Villette,24,undirected
EHemingway_OldMan,Dickens_Hard,2,undirected
EHemingway_OldMan,EBronte_Wuthering,129,undirected
EHemingway_OldMan,Eliot_Adam,12,undirected
EHemingway_OldMan,mystery2,63,undirected
EHemingway_OldMan,Sterne_Tristram,52,undirected
